date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:48:01	208/208	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2017%20Mar%202017%2014:18:02%20GMT	http://agnii.org/robots.txt		(from )
19:48:02	4178/4178	---M-Z	200	added ('OK')	text/html	etag:%221052-5266ff0c1a0ff-gzip%22	http://agnii.org/	C:/My%20Web%20Sites/Agnii/agnii.org/index.html	(from )
19:48:02	1885/1885	---M--	200	added ('OK')	application/javascript	etag:%2275d-5266ff23f18d5%22	http://agnii.org/header.js	C:/My%20Web%20Sites/Agnii/agnii.org/header.js	(from http://agnii.org/)
19:48:02	9288/9288	---M--	200	added ('OK')	application/javascript	etag:%222448-526977e833b0b%22	http://agnii.org/js/custom.modernizr.js	C:/My%20Web%20Sites/Agnii/agnii.org/js/custom.modernizr.js	(from http://agnii.org/)
19:48:04	102388/102388	---M--	200	added ('OK')	text/css	etag:%2218ff4-526977e64b6b3%22	http://agnii.org/css/foundation.min.css	C:/My%20Web%20Sites/Agnii/agnii.org/css/foundation.min.css	(from http://agnii.org/)
19:48:06	1520/1520	---M--	200	added ('OK')	text/css	etag:%225f0-5266ff1974023%22	http://agnii.org/header.css	C:/My%20Web%20Sites/Agnii/agnii.org/header.css	(from http://agnii.org/)
19:48:06	595/595	---M--	200	added ('OK')	text/css	etag:%22253-5266ff1974043%22	http://agnii.org/index.css	C:/My%20Web%20Sites/Agnii/agnii.org/index.css	(from http://agnii.org/)
19:48:06	29455/29455	---MC-	200	added ('OK')	text/javascript	date:Thu,%2002%20Mar%202017%2000:20:42%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/Agnii/www.google-analytics.com/analytics.js	(from http://agnii.org/)
19:48:26	124555/124555	---M--	200	added ('OK')	image/jpeg	etag:%221e68b-5269779cdc987%22	http://agnii.org/assets/main_slider/1.jpg	C:/My%20Web%20Sites/Agnii/agnii.org/assets/main_slider/1.jpg	(from http://agnii.org/)
19:48:36	180971/180971	---M--	200	added ('OK')	image/jpeg	etag:%222c2eb-526977a0ad298%22	http://agnii.org/assets/main_slider/4.jpg	C:/My%20Web%20Sites/Agnii/agnii.org/assets/main_slider/4.jpg	(from http://agnii.org/)
19:48:36	7547/7547	---M-Z	200	added ('OK')	text/html	etag:%221d7b-5266ff084978e-gzip%22	http://agnii.org/about.html	C:/My%20Web%20Sites/Agnii/agnii.org/about.html	(from http://agnii.org/)
19:48:37	2284/2284	---M-Z	200	added ('OK')	text/html	etag:%228ec-5266ff093d9e6-gzip%22	http://agnii.org/sitemap.html	C:/My%20Web%20Sites/Agnii/agnii.org/sitemap.html	(from http://agnii.org/)
19:48:39	202981/202981	---M--	200	added ('OK')	image/jpeg	etag:%22318e5-5269779fb9023%22	http://agnii.org/assets/main_slider/3.jpg	C:/My%20Web%20Sites/Agnii/agnii.org/assets/main_slider/3.jpg	(from http://agnii.org/)
19:48:39	14136/14136	---M--	200	added ('OK')	application/javascript	etag:%223738-526977e833b01%22	http://agnii.org/js/foundation.min.js	C:/My%20Web%20Sites/Agnii/agnii.org/js/foundation.min.js	(from http://agnii.org/)
19:48:42	15454/15454	---M--	200	added ('OK')	application/javascript	etag:%223c5e-526977e833b1c%22	http://agnii.org/js/foundation.orbit.js	C:/My%20Web%20Sites/Agnii/agnii.org/js/foundation.orbit.js	(from http://agnii.org/)
19:48:45	246805/246805	---M--	200	added ('OK')	image/jpeg	etag:%223c415-5269779dd0bb4%22	http://agnii.org/assets/main_slider/2.jpg	C:/My%20Web%20Sites/Agnii/agnii.org/assets/main_slider/2.jpg	(from http://agnii.org/)
19:48:56	187228/187228	---M--	200	added ('OK')	image/jpeg	etag:%222db5c-526977a2956f4%22	http://agnii.org/assets/main_slider/5.jpg	C:/My%20Web%20Sites/Agnii/agnii.org/assets/main_slider/5.jpg	(from http://agnii.org/)
19:49:27	193924/193924	---M--	200	added ('OK')	application/x-font-woff	etag:%222f584-5269777e58157%22	http://agnii.org/assets/fonts/nyala.woff	C:/My%20Web%20Sites/Agnii/agnii.org/assets/fonts/nyala.woff	(from http://agnii.org/header.css)
19:49:31	954/954	---M--	200	added ('OK')	text/css	etag:%223ba-5266ff197400c%22	http://agnii.org/about.css	C:/My%20Web%20Sites/Agnii/agnii.org/about.css	(from http://agnii.org/about.html)
19:49:35	2659757/2659757	---M--	200	added ('OK')	image/svg+xml	etag:%222895ad-5269779076d58%22	http://agnii.org/assets/fonts/nyala.svg	C:/My%20Web%20Sites/Agnii/agnii.org/assets/fonts/nyala.svg	(from http://agnii.org/header.css)
19:49:40	22799/22799	---M--	200	added ('OK')	image/jpeg	etag:%22590f-526977ce73e59%22	http://agnii.org/assets/team/Anthony.jpg	C:/My%20Web%20Sites/Agnii/agnii.org/assets/team/Anthony.jpg	(from http://agnii.org/about.html)
19:49:44	24443/24443	---M--	200	added ('OK')	image/jpeg	etag:%225f7b-526977ce73e5f%22	http://agnii.org/assets/team/Arun.jpg	C:/My%20Web%20Sites/Agnii/agnii.org/assets/team/Arun.jpg	(from http://agnii.org/about.html)
